UPO12-B01-FL11-AP-01, 8866-3903-f240, 10.14.2.117 
UPO12-B01-FL02-AP-18, 8866-3904-0640, 10.14.1.166 
UPO12-B01-FL07-AP-01, 8866-3904-1fa0, 10.14.1.172 
UPO12-B01-FL09-AP-20, 8866-3903-f8a0, 10.14.2.84 
UPO12-B01-FL13-AP-22, 8866-3903-fbe0, 10.14.2.94 
UPO12-B01-FL13-AP-07, 8866-3904-0a80, 10.14.2.60 
UPO12-B01-FL11-AP-24, 8866-3903-f3a0, 10.14.2.90 
UPO12-B01-FL12-AP-17, 8866-3903-f3e0, 10.14.2.93 
UPO12-B01-FL08-AP-03, 8866-3904-1d20, 10.14.2.83 
UPO12-B01-FL13-AP-09, 8866-3904-1d40, 10.14.2.34 
8866-3904-1740, 8866-3904-1740, 10.14.2.95 
UPO12-B01-FL08-AP-19, 8866-3903-f2a0, 10.14.2.107 
UPO12-B01-FL09-AP-05, 8866-3903-ddc0, 10.14.2.14 
UPO12-B01-FL11-AP-17+CCC_FOR_TEST, 8866-3904-1840, 10.14.2.29 
UPO12-B01-FL09-AP-24, 8866-3903-fd40, 10.14.2.18 
UPO12-B01-FL11-AP-11, 8866-3904-1480, 10.14.2.57 
UPO12-B01-FL09-AP-09, 8866-3903-f120, 10.14.2.59 
UPO12-B01-FL11-AP-03, 8866-3904-1a00, 10.14.2.70 
UPO12-B01-FL12-AP-22, 8866-3903-f960, 10.14.2.39 
UPO12-B01-FL09-AP-12, 8866-3903-ff40, 10.14.2.63 
UPO12-B01-FL11-AP-22, 8866-3904-1a20, 10.14.2.131 
UPO12-B01-FL10-AP-06, 8866-3903-f740, 10.14.2.11 
UPO12-B01-FL13-AP-23, 8866-3904-1b80, 10.14.2.108 
UPO12-B01-FL13-AP-06, 8866-3904-0aa0, 10.14.2.58 
8866-3903-f780, 8866-3903-f780, 10.14.2.134 
UPO12-B01-FL13-AP-20, 8866-3904-1ae0, 10.14.2.69 
UPO12-B01-CH-FL03-AP-06, 9835-ed80-1900, 10.14.1.249 
UPO12-B01-FL11-AP-06, 8866-3904-1580, 10.14.2.118 
UPO12-B01-FL11-AP-09, 8866-3904-1780, 10.14.2.76 
UPO12-B01-FL09-AP-01, 8866-3903-fe00, 10.14.2.65 
UPO12-B01-FL12-AP-05, 8866-3903-fd20, 10.14.2.50 
UPO12-B01-FL13-AP-24, 8866-3904-1a80, 10.14.2.133 
UPO12-B01-FL08-AP-22, 8866-3904-1ca0, 10.14.2.43 
UPO12-B01-FL08-AP-16, 8866-3903-f260, 10.14.2.56 
UPO12-B01-FL12-AP-04, 8866-3903-de60, 10.14.2.88 
UPO12-B01-FL11-AP-05, 8866-3903-dd80, 10.14.2.61 
UPO12-B01-FL08-AP-09, 8866-3903-f200, 10.14.2.31 
UPO12-B01-FL11-AP-21, 8866-3904-1960, 10.14.2.104 
UPO12-B01-FL12-AP-21, 8866-3903-fce0, 10.14.2.97 
UPO12-B01-FL08-AP-08, 8866-3903-fd80, 10.14.2.100 
UPO12-B01-FL09-AP-18, 8866-3903-f840, 10.14.2.125 
UPO12-B01-FL08-AP-14, 8866-3903-f220, 10.14.2.51 
UPO12-B01-FL13-AP-10, 8866-3904-1e20, 10.14.2.20 
UPO12-B01-FL09-AP-07, 8866-3903-fac0, 10.14.2.28 
UPO12-B01-FL13-AP-12, 8866-3904-0bc0, 10.14.2.62 
